Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
Asus,EeeBook E203NA-FD087T,https://i.gadgets360cdn.com/products/laptops/large/1546455763_635_asus_eeebook-e203na-fd087t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,E402SA-WX014T,https://i.gadgets360cdn.com/products/laptops/large/1546455137_635_asus_e402sa-wx014t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,E402SA-WX014T,https://i.gadgets360cdn.com/products/laptops/large/1546455137_635_asus_e402sa-wx014t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,4
Asus,EeeBook E203NA-FD088T,https://i.gadgets360cdn.com/products/laptops/large/1546455820_635_asus_eeebook-e203na-fd088t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.91,,,,,,,,,,,,,,,,,,,,,,,
Lava,Helium 14 C141,https://i.gadgets360cdn.com/products/laptops/large/1546455349_635_lava_helium-14-c141.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.99,,,,,,,,,,,,,,,,,,,,,,,3
Lava,Helium 14 C141,https://i.gadgets360cdn.com/products/laptops/large/1546455349_635_lava_helium-14-c141.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.99,,,,,,,,,,,,,,,,,,,,,,,4
RDP,ThinBook 1430P,https://i.gadgets360cdn.com/products/laptops/large/1525207940_635_thinbook-1430p.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,132.99,,,,,,,,,,,,,,,,,,,,,,,3
Acer,One 10 S1002-15XR,https://i.gadgets360cdn.com/products/laptops/large/1546455246_635_acer_one-10-s1002-15xr.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,133.00,,,,,,,,,,,,,,,,,,,,,,,3
Acer,One 10 S1002-15XR,https://i.gadgets360cdn.com/products/laptops/large/1546455246_635_acer_one-10-s1002-15xr.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,133.00,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Switch 10E-SW3-16,https://i.gadgets360cdn.com/products/laptops/large/1546455523_635_acer_switch-10e-sw3-16.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,140.77,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Switch 10E-SW3-16,https://i.gadgets360cdn.com/products/laptops/large/1546455523_635_acer_switch-10e-sw3-16.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,140.77,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire One S1001-19P0,https://i.gadgets360cdn.com/products/laptops/large/1546453037_635_acer_aspire-one-s1001-19p0.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire One S1001-19P0,https://i.gadgets360cdn.com/products/laptops/large/1546453037_635_acer_aspire-one-s1001-19p0.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire SW1-11,https://i.gadgets360cdn.com/products/laptops/large/1546455313_635_acer_aspire-sw1-11.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire SW1-11,https://i.gadgets360cdn.com/products/laptops/large/1546455313_635_acer_aspire-sw1-11.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
Asus,EeeBook X205TA,https://i.gadgets360cdn.com/products/laptops/large/1546455430_635_asus_eeebook-x205ta.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
